United States,"8,474","8,346","16,601",50.12%,2.41,00:02:44,0.00%,0,$0.00
China,"4,329","4,129","10,989",42.38%,2.71,00:03:54,0.00%,0,$0.00
India,"3,305","3,255","6,513",51.10%,2.27,00:03:05,0.00%,0,$0.00
Germany,"2,396","2,307","4,630",46.67%,2.42,00:02:32,0.00%,0,$0.00
United Kingdom,"1,992","1,914","3,722",43.71%,2.51,00:02:57,0.00%,0,$0.00
Japan,"1,928","1,831","4,099",43.08%,2.71,00:03:09,0.00%,0,$0.00
Brazil,"1,071","1,045","2,363",44.35%,2.39,00:02:57,0.00%,0,$0.00
France,"1,054","1,026","1,974",43.82%,2.52,00:02:43,0.00%,0,$0.00
Canada,"1,040","1,014","1,994",44.98%,2.43,00:02:24,0.00%,0,$0.00
Italy,827,797,"1,668",44.30%,2.34,00:02:30,0.00%,0,$0.00
Spain,783,759,"1,371",47.12%,2.13,00:02:14,0.00%,0,$0.00
Russia,709,692,"1,410",48.44%,2.32,00:02:49,0.00%,0,$0.00
South Korea,702,682,"1,517",35.27%,3.18,00:03:26,0.00%,0,$0.00
Australia,603,589,"1,246",45.26%,2.26,00:02:36,0.00%,0,$0.00
Switzerland,603,575,"1,182",42.81%,2.55,00:02:44,0.00%,0,$0.00
Taiwan,536,518,"1,218",47.87%,2.61,00:02:59,0.00%,0,$0.00
Netherlands,520,484,"1,040",50.00%,2.17,00:02:21,0.00%,0,$0.00
Turkey,486,464,"1,033",51.98%,2.31,00:02:33,0.00%,0,$0.00
Poland,446,432,731,48.70%,2.46,00:02:52,0.00%,0,$0.00
Singapore,421,395,857,43.64%,2.56,00:02:56,0.00%,0,$0.00
Hong Kong,420,353,855,43.27%,2.58,00:03:04,0.00%,0,$0.00
Iran,404,362,879,46.08%,2.54,00:03:59,0.00%,0,$0.00
Sweden,386,362,681,51.69%,2.40,00:02:19,0.00%,0,$0.00
Austria,373,350,820,36.46%,2.68,00:02:51,0.00%,0,$0.00
Mexico,368,363,"1,007",56.21%,2.11,00:02:23,0.00%,0,$0.00
Israel,349,336,784,36.73%,2.74,00:03:26,0.00%,0,$0.00
Colombia,282,278,592,44.76%,2.32,00:02:50,0.00%,0,$0.00
Denmark,257,248,503,47.12%,2.64,00:03:14,0.00%,0,$0.00
Argentina,189,181,393,40.97%,2.37,00:02:58,0.00%,0,$0.00
Belgium,178,169,316,46.20%,2.53,00:02:12,0.00%,0,$0.00
Indonesia,173,160,313,42.81%,2.62,00:03:36,0.00%,0,$0.00
Egypt,169,167,253,63.24%,2.00,00:01:55,0.00%,0,$0.00
Finland,169,163,374,48.93%,2.33,00:02:39,0.00%,0,$0.00
Chile,168,162,432,34.72%,2.49,00:02:58,0.00%,0,$0.00
Pakistan,166,163,279,58.42%,2.00,00:02:11,0.00%,0,$0.00
NOTSET,166,134,241,41.91%,2.40,00:03:33,0.00%,0,$0.00
Thailand,162,157,349,46.70%,2.28,00:03:18,0.00%,0,$0.00
Ireland,158,151,314,48.41%,2.24,00:02:36,0.00%,0,$0.00
Greece,156,150,596,73.15%,1.71,00:01:37,0.00%,0,$0.00
Cameroon,120,119,219,40.18%,2.31,00:03:59,0.00%,0,$0.00
Ukraine,117,110,198,53.03%,2.15,00:01:52,0.00%,0,$0.00
Czechia,116,107,180,43.89%,2.64,00:02:42,0.00%,0,$0.00
South Africa,111,108,199,55.28%,2.08,00:02:29,0.00%,0,$0.00
Romania,110,108,142,50.70%,2.54,00:03:02,0.00%,0,$0.00
Malaysia,102,100,162,53.70%,2.09,00:02:13,0.00%,0,$0.00
United Arab Emirates,101,83,137,53.28%,2.91,00:03:45,0.00%,0,$0.00
Portugal,89,86,143,58.74%,2.16,00:02:55,0.00%,0,$0.00
Norway,85,81,108,56.48%,2.15,00:01:51,0.00%,0,$0.00
Morocco,84,81,205,56.59%,2.10,00:02:51,0.00%,0,$0.00
Hungary,82,80,121,60.33%,2.45,00:01:48,0.00%,0,$0.00
New Zealand,80,74,141,45.39%,2.18,00:01:49,0.00%,0,$0.00
Nepal,71,71,107,57.01%,1.95,00:01:51,0.00%,0,$0.00
Peru,69,68,104,62.50%,2.33,00:03:06,0.00%,0,$0.00
Bangladesh,66,66,79,46.84%,2.27,00:02:00,0.00%,0,$0.00
Saudi Arabia,62,62,89,52.81%,2.27,00:01:50,0.00%,0,$0.00
Philippines,61,56,75,53.33%,2.36,00:01:47,0.00%,0,$0.00
Vietnam,61,60,122,61.48%,2.36,00:03:29,0.00%,0,$0.00
Algeria,57,56,100,41.00%,2.49,00:05:14,0.00%,0,$0.00
Serbia,49,49,64,59.38%,1.88,00:01:28,0.00%,0,$0.00
Bulgaria,43,43,68,52.94%,2.16,00:00:43,0.00%,0,$0.00
Nigeria,38,37,62,50.00%,2.31,00:02:16,0.00%,0,$0.00
Slovakia,37,35,70,38.57%,2.50,00:02:03,0.00%,0,$0.00
Slovenia,32,31,42,45.24%,2.50,00:02:34,0.00%,0,$0.00
Iraq,30,30,80,37.50%,3.31,00:04:19,0.00%,0,$0.00
Tunisia,28,28,59,47.46%,2.49,00:02:01,0.00%,0,$0.00
Belarus,27,27,35,57.14%,2.20,00:03:14,0.00%,0,$0.00
Croatia,24,24,26,53.85%,3.23,00:02:04,0.00%,0,$0.00
Kenya,24,24,27,40.74%,2.22,00:04:26,0.00%,0,$0.00
Estonia,21,21,26,50.00%,2.69,00:03:47,0.00%,0,$0.00
Armenia,20,20,28,53.57%,2.25,00:02:45,0.00%,0,$0.00
Venezuela,19,19,25,68.00%,1.60,00:00:26,0.00%,0,$0.00
Ecuador,18,18,27,59.26%,2.41,00:01:53,0.00%,0,$0.00
